Product Name,Price
"2008 Mercedes-Benz C300 Black on Black, No Accident Amazing Condition",7900
"2019 BMW 330i xDrive - Premium Enhanced , No Accident, Only 4,509 kms",47890
2011 BMW 535i GT xDrive local navi Gran Turismo LOCAL no accidents,12888
2018 Mercedes Benz GLC 350e 4MATIC,59888
2016 Acura TLX 3.5L SH-AWD w/ Elite Package,28889
"2017 Mercedes Benz GLE43 AMG 4MATIC, LOCAL VEHICLE NO ACCIDENTS**",60995
"2012 Nissan Sentra SR 2.0, LOCAL NO ACCIDENTS, INCLUDES EXTRA TIRES**",8998
"2016 BMW 528i xDrive, NO ACCIDENTS ONLY 24710KM!",31888
"2016 Audi A4 Allroad Quattro, LOCAL VEHICLE NO ACCIDENTS**",28998
2007 Audi Q7 quattro 4dr 3.6L Premium (Call Ari @604-773-1858),10995
1998 Audi a4 2.8 quattro manual,3000
"2011 Audi Q7 quattro S Line, Auto, AWD, 3.0L TDI, Diesel, Premium Plus, Local",14800
2015 Ford Mustang GT 50 Years Anniversary Edition,35888
2013 Audi A4 2.0T Quattro Premium,19500
